순위,종목코드,종목명,현재가,대비,등락률,거래량,거래대금,시가,고가,저가,시가총액,시가총액비중(%),상장주식수,외국인 보유주식수,외국인 지분율(%),총카운트
1,5930,삼성전자,"89,700",0,0,"26,352,308","2,352,910,896,900","88,700","90,000","88,700","535,489,494,735,000",20.86,"5,969,782,550",,,2531
2,660,SK하이닉스,"130,500","-2,500",-1.9,"5,376,633","701,948,541,508","132,500","133,000","129,000","95,004,308,632,500",3.7,"728,002,365",,,
3,51910,LG화학,"1,010,000","10,000",1,"652,039","667,699,659,000","1,008,000","1,050,000","1,000,000","71,298,266,430,000",2.78,"70,592,343",,,
4,5935,삼성전자우,"78,800",200,0.2,"2,240,220","176,309,067,600","78,800","79,100","78,400","64,843,471,960,000",2.53,"822,886,700",,,
5,207940,삼성바이오로직스,"816,000","-14,000",-1.7,"163,215","133,576,876,000","828,000","828,000","810,000","53,990,640,000,000",2.1,"66,165,000",,,
6,5380,현대차,"250,500","-8,500",-3.3,"3,377,509","850,430,876,500","251,000","255,500","248,500","53,523,880,843,500",2.09,"213,668,187",,,
7,35420,NAVER,"318,000","4,000",1.3,"1,547,567","494,658,648,500","318,500","326,000","314,000","52,235,759,610,000",2.03,"164,263,395",,,
8,6400,삼성SDI,"749,000","-5,000",-0.7,"531,151","400,575,342,000","751,000","768,000","746,000","51,504,632,970,000",2.01,"68,764,530",,,
9,68270,셀트리온,"352,500","-29,000",-7.6,"3,403,470","1,222,010,697,000","366,000","374,000","351,000","47,586,726,262,500",1.85,"134,997,805",,,
10,35720,카카오,"451,500","-3,000",-0.7,"801,047","365,119,750,500","454,000","463,000","450,000","39,939,647,559,000",1.56,"88,459,906",,,
11,12330,현대모비스,"327,000","-12,500",-3.7,"976,588","320,136,389,500","328,500","334,500","324,500","31,082,884,938,000",1.21,"95,054,694",,,
12,270,기아차,"73,800","1,600",2.2,"6,826,380","503,769,218,900","71,200","75,500","70,500","29,915,815,008,600",1.17,"405,363,347",,,
13,28260,삼성물산,"152,500","6,500",4.4,"1,849,429","283,795,164,500","147,500","157,500","146,500","28,500,279,852,500",1.11,"186,887,081",,,
14,51900,LG생활건강,"1,596,000","-2,000",-0.1,"37,272","59,281,192,000","1,562,000","1,607,000","1,561,000","24,926,642,412,000",0.97,"15,618,197",,,
15,5490,POSCO,"282,000","-1,500",-0.5,"398,561","112,731,251,500","283,500","285,000","281,000","24,586,687,470,000",0.96,"87,186,835",,,
16,96770,SK이노베이션,"262,000","-19,000",-6.8,"2,600,425","702,724,356,500","274,000","283,500","261,000","24,225,977,768,000",0.94,"92,465,564",,,
17,66570,LG전자,"147,000","7,000",5,"5,590,703","817,985,820,500","138,500","150,500","138,500","24,056,228,658,000",0.94,"163,647,814",,,
18,91990,셀트리온헬스케어,"155,900","-13,900",-8.2,"5,336,154","845,928,633,800","161,100","165,000","153,700","23,667,151,249,800",0.92,"151,809,822",,,
19,34730,SK,"306,000","9,500",3.2,"911,264","279,346,412,000","299,000","310,000","298,500","21,530,250,882,000",0.84,"70,360,297",,,
20,17670,SK텔레콤,"255,500",500,0.2,"528,936","135,005,271,500","255,000","258,500","252,000","20,630,529,160,500",0.8,"80,745,711",,,
21,36570,엔씨소프트,"939,000","-1,000",-0.1,"97,146","91,224,183,000","932,000","946,000","930,000","20,614,826,658,000",0.8,"21,954,022",,,
22,105560,KB금융,"46,550",-750,-1.6,"2,835,499","132,841,125,215","47,500","47,550","46,550","19,355,858,676,000",0.75,"415,807,920",,,
23,3550,LG,"108,500","5,000",4.8,"1,005,170","107,861,897,932","102,500","109,500","102,000","18,722,448,713,500",0.73,"172,557,131",,,
24,55550,신한지주,"34,050",-150,-0.4,"3,913,214","133,549,735,600","34,300","34,350","33,950","17,587,738,731,750",0.69,"516,526,835",,,
25,32830,삼성생명,"84,900","1,300",1.6,"953,576","80,857,263,300","83,500","86,000","83,500","16,980,000,000,000",0.66,"200,000,000",,,
26,15760,한국전력,"25,950",200,0.8,"4,483,391","115,806,327,400","25,950","26,000","25,550","16,658,967,798,150",0.65,"641,964,077",,,
27,18260,삼성에스디에스,"209,500","3,500",1.7,"429,772","90,811,822,500","208,500","215,000","207,000","16,210,649,100,000",0.63,"77,377,800",,,
28,9150,삼성전기,"207,500","4,000",2,"1,317,689","275,524,565,000","205,000","214,000","205,000","15,498,941,920,000",0.6,"74,693,696",,,
29,90430,아모레퍼시픽,"213,500","2,000",1,"348,841","73,765,430,500","213,000","213,500","208,000","12,480,887,615,000",0.49,"58,458,490",,,
30,326030,SK바이오팜,"155,000","2,000",1.3,"286,097","44,266,009,000","153,500","156,500","152,000","12,138,553,750,000",0.47,"78,313,250",,,
31,86790,하나금융지주,"39,250",-950,-2.4,"2,290,422","89,845,612,850","39,900","40,000","38,900","11,784,500,933,500",0.46,"300,242,062",,,
32,33780,KT&G,"82,100",100,0.1,"837,056","68,920,476,400","82,600","82,800","82,100","11,271,714,003,700",0.44,"137,292,497",,,
33,251270,넷마블,"126,500",-500,-0.4,"330,022","42,023,872,500","126,500","129,000","126,000","10,859,430,829,500",0.42,"85,845,303",,,
34,11170,롯데케미칼,"316,000","7,000",2.3,"322,915","100,797,582,500","310,000","317,000","305,000","10,831,032,404,000",0.42,"34,275,419",,,
