시가총액	상장주식수	액면가	매매단위	외국인한도주식수	외국인보유주식수	외국인소진율	투자의견	목표주가	PER_202009	EPS_202009	추정PER	추정EPS	PBR_202009	BPS_202009	배당수익률	동일업종PER	동일업종등락률
"2,091"	46822295	1000	1	46822295	4980434	10.64	NA	NA	NA	-1230	NA	NA	0.69	6446	NA	51.92	1.31
"3,398"	13247561	5000	1	13247561	1013755	7.65	NA	NA	NA	-11544	NA	NA	0.49	52837	NA	63.27	3.47
"4,695"	95716791	1000	1	95716791	7666167	8.01	4	6000	18.44	266	NA	NA	0.31	15772	NA	-27.68	2
"2조 5,062"	17283906	1000	1	17283906	5408587	31.29	3.77	172455	19.15	7570	19.15	7570	3.73	38910	NA	-27.68	2
"1조 9,067"	325935246	5000	1	325935246	124968881	38.34	3.8	7207	3.97	1474	3.75	1562	0.22	26773	NA	4.89	0.72
"1,986"	624615	5000	1	624615	11901	1.91	NA	NA	15.03	21155	NA	NA	0.6	532318	NA	30.14	2.17
"3조 1,803"	29176998	5000	1	29176998	5937467	20.35	3.8	119600	18.11	6020	12.63	8633	0.76	142604	NA	29.15	1.43
"9,688"	35100000	500	1	35100000	1998253	5.69	3.27	24364	NA	-18557	-2.02	-13657	7.04	3923	NA	-18.79	3.6
"3조 7,640"	22812344	5000	1	22812344	4805036	21.06	3.87	210000	29.75	5547	31.36	5261	0.97	170246	NA	11.67	3.18
"1,716"	35930773	500	1	35930773	0	0	NA	NA	48.23	99	NA	NA	2.6	1837	NA	27.45	1.17
"6조 5,787"	15054186	5000	1	15054186	3698591	24.57	4	560882	9.07	48157	8.91	49071	1.26	346067	NA	11.67	3.18
677	1154482	5000	1	1154482	31289	2.71	NA	NA	7.43	7883	NA	NA	0.29	202418	NA	41.1	2.67
"1,654"	201173933	500	1	201173933	4926070	2.45	NA	NA	18.27	45	NA	NA	0.6	1380	NA	25.31	1.67
"2,199"	42446389	5000	1	42446389	3592593	8.46	NA	NA	3.67	1412	NA	NA	0.29	18148	NA	6.3	2.81
